ID,DESCRIPTION,DESCRIPTION.1,Energy (kcal),F_TOTAL (cup eq.),F_CITMLB (cup eq.),F_OTHER (cup eq.),F_JUICE (cup eq.),V_TOTAL (cup eq.),V_DRKGR (cup eq.),V_REDOR_TOTAL (cup eq.),V_REDOR_TOMATO (cup eq.),V_REDOR_OTHER (cup eq.),V_STARCHY_TOTAL (cup eq.),V_STARCHY_POTATO (cup eq.),V_STARCHY_OTHER (cup eq.),V_OTHER (cup eq.),V_LEGUMES (cup eq.),G_TOTAL (oz. eq.),G_WHOLE (oz. eq.),G_REFINED (oz. eq.),PF_TOTAL (oz. eq.),PF_MPS_TOTAL (oz. eq.),PF_MEAT (oz. eq.),PF_CUREDMEAT (oz. eq.),PF_ORGAN (oz. eq.),PF_POULT (oz. eq.),PF_SEAFD_HI (oz. eq.),PF_SEAFD_LOW (oz. eq.),PF_EGGS (oz. eq.),PF_SOY (oz. eq.),PF_NUTSDS (oz. eq.),PF_LEGUMES (oz. eq.),D_TOTAL (cup eq.),D_MILK (cup eq.),D_YOGURT (cup eq.),D_CHEESE (cup eq.),OILS (grams),SOLID_FATS (grams),ADD_SUGARS (tsp. eq.),A_DRINKS (no. of drinks),Protein (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg_RAE)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),"Iron
(mg)",Magnesium (mg),Potassium (mg),"Fatty acids, total saturated (g)",Sodium (mg),Added Sugar (g),Energy_Factor,Score_Protein (g),"Score_Fiber, total dietary (g)","Score_Vitamin A, RAE (mcg_RAE)",Score_Vitamin C (mg),Score_Vitamin E (alpha-tocopherol) (mg),Score_Calcium (mg),"Score_Iron
(mg)",Score_Magnesium (mg),Score_Potassium (mg),Total_NRF9,"Score_Fatty acids, total saturated (g)",Score_Added Sugar (g),Score_Sodium (mg),Total_LIM,NRF9.3_Score,Label_Text,Label_Value
24130210,"Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten","Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten",218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,3.36,0.0,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,23.77,0.0,19,0.0,0.48,18,0.98,22,265,3.498,358,0.0,0.45871559633027525,21.807339449541285,0.0,0.9683995922528033,0.0,1.4678899082568808,0.6351446718419197,2.4974515800203876,2.4027959807776322,2.5863751707983607,32.365396353489274,8.022935779816514,0.0,7.140007977662545,15.16294375747906,17.202452596010215,Medium,1
24130220,"Chicken leg, drumstick and thigh, NS as to cooking method, skin not eaten","Chicken leg, drumstick and thigh, NS as to cooking method, skin not eaten",185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,3.49,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,25.54,0.0,12,0.0,0.5,16,1.0,22,274,2.295,362,0.0,0.5405405405405406,27.61081081081081,0.0,0.7207207207207207,0.0,1.8018018018018018,0.6652806652806653,3.0030030030030033,2.8314028314028317,3.151236342725705,39.78425617574554,6.202702702702703,0.0,8.507638072855464,14.710340775558166,25.073915400187374,Medium,1
24132230,"Chicken leg, drumstick and thigh, baked or broiled, skin eaten","Chicken leg, drumstick and thigh, baked or broiled, skin eaten",214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,3.37,0.0,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,0.0,0.0,23.16,0.0,14,0.0,0.19,10,1.08,22,249,3.541,341,0.0,0.4672897196261682,21.64485981308411,0.0,0.726895119418484,0.0,0.5919003115264798,0.35945363048166784,2.8037383177570097,2.447708055184691,2.4756412805726784,31.05019652802512,8.273364485981308,0.0,6.928078017066233,15.201442503047542,15.848754024977577,Medium,1
24132231,"Chicken leg, drumstick and thigh, baked or broiled, skin not eaten","Chicken leg, drumstick and thigh, baked or broiled, skin not eaten",168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,3.51,0.0,0.0,0.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.41,0.0,7,0.0,0.18,10,1.13,23,262,1.977,345,0.0,0.5952380952380952,29.059523809523814,0.0,0.462962962962963,0.0,0.7142857142857143,0.4578754578754579,3.736772486772486,3.259637188208617,3.3181357649442758,41.00919338457332,5.883928571428572,0.0,8.928571428571429,14.8125,26.196693384573322,Medium,1
24132240,"Chicken leg, drumstick and thigh, rotisserie, skin eaten","Chicken leg, drumstick and thigh, rotisserie, skin eaten",218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,3.36,0.0,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,23.77,0.0,19,0.0,0.48,18,0.98,22,265,3.498,358,0.0,0.45871559633027525,21.807339449541285,0.0,0.9683995922528033,0.0,1.4678899082568808,0.6351446718419197,2.4974515800203876,2.4027959807776322,2.5863751707983607,32.365396353489274,8.022935779816514,0.0,7.140007977662545,15.16294375747906,17.202452596010215,Medium,1
24132241,"Chicken leg, drumstick and thigh, rotisserie, skin not eaten","Chicken leg, drumstick and thigh, rotisserie, skin not eaten",185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,3.49,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,25.54,0.0,12,0.0,0.5,16,1.0,22,274,2.295,362,0.0,0.5405405405405406,27.61081081081081,0.0,0.7207207207207207,0.0,1.8018018018018018,0.6652806652806653,3.0030030030030033,2.8314028314028317,3.151236342725705,39.78425617574554,6.202702702702703,0.0,8.507638072855464,14.710340775558166,25.073915400187374,Medium,1
24133210,"Chicken leg, drumstick and thigh, stewed, skin eaten","Chicken leg, drumstick and thigh, stewed, skin eaten",211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,0.0,0.0,22.45,0.0,14,0.0,0.17,12,1.09,22,237,3.698,396,0.0,0.47393364928909953,21.27962085308057,0.0,0.7372301211163771,0.0,0.5371248025276462,0.43747721472839957,2.8699315429173247,2.482509591514331,2.3898356357769486,30.733729761661593,8.76303317535545,0.0,8.159901092107974,16.922934267463425,13.810795494198167,Medium,1
24133220,"Chicken leg, drumstick and thigh, stewed, skin not eaten","Chicken leg, drumstick and thigh, stewed, skin not eaten",167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0.0,8,0.0,0.17,12,1.13,24,253,2.031,399,0.0,0.5988023952095808,28.862275449101794,0.0,0.5322687957418496,0.0,0.6786427145708582,0.5527406725011516,3.7591483699268124,3.4217279726261762,3.2233405529366794,41.03014452740532,6.080838323353293,0.0,10.387919812548814,16.468758135902107,24.561386391503213,Medium,1
24134100,"Chicken leg, drumstick and thigh, grilled without sauce, skin eaten","Chicken leg, drumstick and thigh, grilled without sauce, skin eaten",227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,3.29,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,3.88,0.0,0.0,22.65,0.0,14,0.0,0.42,10,1.06,21,244,3.738,414,0.0,0.44052863436123346,19.955947136563875,0.0,0.6852667645619187,0.0,1.2334801762114538,0.33886818027787186,2.594224180127264,2.2026431718061676,2.28699971881151,29.297429328360064,8.233480176211453,0.0,7.929515418502202,16.162995594713657,13.134433733646407,Medium,1
24134101,"Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten","Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten",182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,3.43,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,23.87,0.0,7,0.0,0.41,10,1.11,23,257,2.206,419,0.0,0.5494505494505495,26.230769230769234,0.0,0.4273504273504274,0.0,1.5018315018315018,0.422654268808115,3.3882783882783887,3.0088958660387233,3.004442366144494,37.98422204922088,6.060439560439561,0.0,10.009555661729577,16.069995222169137,21.914226827051746,Medium,1
